id,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
2510235,iaa,,,marketing and advertising,501 - 1000,"tille, oise, france",france,linkedin.com/company/iaa,248,308
5088669,madison local schools,mlsd.net,,education management,201 - 500,,,linkedin.com/company/madison-local-schools,113,166
2909709,"spitzer industries, inc.",spitzerind.com,1996.0,oil & energy,201 - 500,"houston, texas, united states",united states,linkedin.com/company/spitzer-industries-inc.,123,241
4602727,federal home loan bank of dallas,fhlb.com,1932.0,banking,201 - 500,"irving, texas, united states",united states,linkedin.com/company/federal-home-loan-bank-of-dallas,146,355
3596734,integrated telecom company (itc),itc.sa,2005.0,telecommunications,501 - 1000,"riyadh, ar riyāḑ, saudi arabia",saudi arabia,linkedin.com/company/integrated-telecom-company-itc-,319,557
5359288,les grands chais de france,gcfplanet.com,1979.0,wine and spirits,1001 - 5000,,,linkedin.com/company/les-grands-chais-de-france,344,709
4570889,ab tasty,abtasty.com,2009.0,internet,201 - 500,"new york, new york, united states",united states,linkedin.com/company/ab-tasty,116,178
212783,universität tübingen,,,research,501 - 1000,,,linkedin.com/company/universit-t-t-bingen,269,864
1116921,di finances,gt-executive.com,,management consulting,201 - 500,,,linkedin.com/company/di-finances,104,126
3731899,advia credit union,adviacu.org,1938.0,banking,201 - 500,"parchment, michigan, united states",united states,linkedin.com/company/advia-credit-union,210,392
3349430,canadian institutes of health research | instituts de recherche en santé du canada,cihr-irsc.gc.ca,2000.0,government administration,201 - 500,"ottawa, ontario, canada",canada,linkedin.com/company/canadian-institutes-of-health-research,240,639
